Date,t_mean,Temperature,Humidity,heater_onOff,T_set,is_sitting,T00_is_chair,T01_is_chair,T02_is_chair,PID Output,consumption
19.53.2021 21:53:03,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.1743341404358354
19.53.2021 21:53:08,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.1693779904306223
19.53.2021 21:53:13,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.1645390070921984
19.53.2021 21:53:18,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.15981308411215
19.53.2021 21:53:23,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.155196304849884
19.53.2021 21:53:28,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.1506849315068495
19.53.2021 21:53:33,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.14627539503386
19.53.2021 21:53:38,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.1419642857142858
19.53.2021 21:53:43,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.137748344370861
19.53.2021 21:53:48,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.133624454148472
19.53.2021 21:53:53,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.129589632829373
19.53.2021 21:53:58,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.125641025641025
19.54.2021 21:54:03,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.121775898520084
19.54.2021 21:54:08,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.117991631799163
19.54.2021 21:54:13,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.1142857142857143
19.54.2021 21:54:18,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.1106557377049184
19.54.2021 21:54:23,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.1070993914807303
19.54.2021 21:54:28,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.103614457831325
19.54.2021 21:54:33,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.100198807157058
19.54.2021 21:54:39,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0968503937007874
19.54.2021 21:54:44,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0935672514619887
19.54.2021 21:54:49,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0903474903474906
19.54.2021 21:54:54,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0871892925430213
19.54.2021 21:54:59,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.084090909090909
19.55.2021 21:55:04,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0810506566604126
19.55.2021 21:55:09,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0780669144981414
19.55.2021 21:55:14,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.075138121546961
19.55.2021 21:55:19,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0722627737226276
19.55.2021 21:55:24,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0694394213381555
19.55.2021 21:55:29,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.066666666666667
19.55.2021 21:55:34,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0639431616341035
19.55.2021 21:55:39,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.061267605633802
